date,code,name,share_change_100m,share_balance_100m,prev_date,prev_share_balance_100m,status,source,updated_at
20260604,159919.SZ,嘉实沪深300etf,-0.5310,122.6272,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:37+00:00
20260604,510300.SH,华泰柏瑞沪深300etf,-1.8720,278.5999,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:37+00:00
20260604,510310.SH,易方达沪深300etf,-1.5030,218.9944,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:37+00:00
20260604,510330.SH,华夏沪深300etf,-0.1530,141.5725,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:37+00:00
20260604,588000.SH,华夏上证科创板50ETF,-3.3900,329.7867,20260603,333.1767,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260605,159919.SZ,嘉实沪深300etf,0.3150,122.9422,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:32+00:00
20260605,510300.SH,华泰柏瑞沪深300etf,0.4500,279.0499,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:32+00:00
20260605,510310.SH,易方达沪深300etf,0.9630,219.9574,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:32+00:00
20260605,510330.SH,华夏沪深300etf,0.1620,141.7345,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:32+00:00
20260605,588000.SH,华夏上证科创板50ETF,4.8600,334.6467,20260604,329.7867,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260608,159919.SZ,嘉实沪深300etf,2.2680,125.2102,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:15+00:00
20260608,510300.SH,华泰柏瑞沪深300etf,5.7690,284.8189,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:15+00:00
20260608,510310.SH,易方达沪深300etf,3.0420,222.9994,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:15+00:00
20260608,510330.SH,华夏沪深300etf,1.7370,143.4715,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:15+00:00
20260608,588000.SH,华夏上证科创板50ETF,9.4800,344.1267,20260605,334.6467,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260609,159919.SZ,嘉实沪深300etf,-0.4050,124.8052,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:10+00:00
20260609,510300.SH,华泰柏瑞沪深300etf,-1.5030,283.3159,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:10+00:00
20260609,510310.SH,易方达沪深300etf,-0.3150,222.6844,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:10+00:00
20260609,510330.SH,华夏沪深300etf,-0.3150,143.1565,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:10+00:00
20260609,588000.SH,华夏上证科创板50ETF,-9.0900,335.0367,20260608,344.1267,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260610,159919.SZ,嘉实沪深300etf,0.0270,124.8322,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:04+00:00
20260610,510300.SH,华泰柏瑞沪深300etf,1.8270,285.1429,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:12:04+00:00
